medianCap,meanCap,maxiCap,miniCap,devCap,mediancost,meancost,maxicost,minicost,devcost,solutions
355.1902954,355.8637396,623.7625002,165.3379671,75.47342383,5669,5667.3512,6317,5109,165.2569922,0
250.7111116,256.0310051,516.1161613,33.29603013,74.41143894,5669,5679.7998,6255,5109,157.3446889,0
267.92296,272.4583109,522.7992478,50.24513838,75.00317305,5723,5725.2432,6215,5185,175.0875211,0
431.2382645,430.9191402,673.9378381,201.1745345,80.48442409,5706,5711.5752,6294,5108,177.9459838,0
661.7957993,661.548162,918.7439798,391.4962349,81.53853449,5655,5649.6132,6203,4979,173.5370093,0
273.4223844,276.2723271,552.1280305,87.93204007,73.05070973,5686,5684.2328,6224,5172,153.6163461,0
487.5005708,493.2117861,787.8321018,166.2465703,76.20151034,5710,5704.129,6248,5244,155.6604631,0
419.7017924,422.2310219,687.5388656,191.7621129,80.05394014,5661,5658.564,6389,5091,183.1472552,0
651.784364,655.703692,865.6940072,0,73.09839805,5767,5760.2452,6409,4989,202.8097687,1
802.2086093,802.8617259,1061.217815,316.5654206,81.54533607,5563,5561.3288,6009,5077,135.188792,0
538.7251706,538.1910596,780.5309735,287.9375649,83.58601722,5692,5687.1466,6202,5050,173.7768089,0
264.1795823,269.6543062,536.4974649,0,72.56295792,5682,5672.1434,6170,5110,168.2254958,2
725.2808923,727.359176,1061.69583,172.3650712,92.38302942,5699,5701.1826,6279,5157,174.0362303,0
425.2431245,427.9062177,695.3625339,0,69.67461016,5680,5669.9936,6304,5108,172.5866807,1
212.2502978,211.066422,413.4949952,18.9480775,69.98033927,5673,5677.4914,6169,5173,160.1010148,0
811.2642705,814.7845619,1081.076559,103.0504564,75.78330043,5566,5563.8524,6092,5018,164.9264825,0
254.0440972,254.9034644,474.1355297,67.38375478,62.86930217,5630,5624.3032,6304,4964,180.3898314,0
806.4814131,804.7612075,1103.361053,0,91.20788937,5586,5576.6596,6070,4996,168.4988289,1
553.9013401,556.0425262,810.6004798,0,73.837366,5671,5668.3472,6234,5214,158.5055591,1
793.3089217,790.5410136,1029.543756,371.003564,90.01717727,5721,5705.8156,6201,4983,173.577237,0
172.1978822,176.0939787,377.9074322,20.19301019,60.49958209,5672,5670.5664,6202,5088,174.4760981,0
423.4966744,420.677242,701.1964234,162.8556177,82.17546704,5653,5651.2346,6187,5203,157.2058185,0
322.1473728,321.8106067,570.3968788,0,71.64759454,5685,5692.5686,6211,5179,177.19795,1
467.5054644,468.6242769,733.4053859,244.3957744,65.7389947,5637,5639.0314,6155,5153,157.5197264,0
326.3625067,327.5335425,605.9866698,53.4455104,80.66798645,5684,5691.521,6316,5122,176.0411968,0
645.9533189,643.362154,889.3499523,0,85.31495914,5740,5744.052,6282,5152,182.1233618,2
