Cost,Reset,Iterations,Solved,TimeInHC,Dev,Batterycap
2221.41,176.59,9197.72,99,1.81381001234,15,1515.0
2265.51,171.66,10110.84,100,1.90311000347,30,1515.0
2314.68,164.77,10878.25,100,2.00310999632,45,1515.0
2279.16,177.59,7855.77,76,1.65209999561,5,1515.75
2213.1,178.67,9130.99,100,1.8039400053,15,1515.75
2255.27,172.68,10140.08,100,1.91750999928,30,1515.75
2307.11,167.45,10872.57,100,2.00041001081,45,1515.75
2260.36,177.56,8036.68,85,1.69554001808,5,1516.5
2215.36,177.6,8446.34,100,1.67006000042,15,1516.5
2265.35,173.33,9742.58,100,1.84734001637,30,1516.5
2297.91,166.02,10752.39,100,1.98641999722,45,1516.5
2173.12,181.63,7978.72,92,1.68717999458,5,1517.25
2207.51,176.25,8991.18,100,1.78829999208,15,1517.25
2260.73,174.59,9709.0,100,1.8452899909,30,1517.25
2293.73,169.06,10831.5,100,2.01532000065,45,1517.25
2182.18,184.69,8051.84,92,1.84300998926,5,1518.0
2214.27,178.91,8841.96,100,1.75398999453,15,1518.0
2249.03,173.14,9666.75,100,1.85340999603,30,1518.0
2305.0,165.51,10502.97,100,1.96152000189,45,1518.0
2188.41,184.2,7898.65,91,1.69240000248,5,1518.75
2197.51,180.89,9055.51,100,1.81487999201,15,1518.75
2252.66,174.15,9490.28,100,1.81977000952,30,1518.75
2296.84,167.8,9842.93,100,1.83886000395,45,1518.75
2152.71,191.19,8316.36,96,1.80138999701,5,1519.5
2196.57,178.95,8838.37,100,1.76837999105,15,1519.5
2251.78,173.96,9513.89,100,1.82759999514,30,1519.5
2277.25,169.49,10285.0,100,1.92585999489,45,1519.5
2140.58,191.08,8366.51,97,1.79891999722,5,1520.25
2202.7,181.72,9149.21,100,1.8342800045,15,1520.25
2256.98,174.72,9531.74,100,1.83146999121,30,1520.25
2279.35,171.35,10184.32,100,1.90640000582,45,1520.25
2152.9,185.89,8109.21,96,1.74712999821,5,1521.0
2198.74,181.31,9025.94,100,1.8134100008,15,1521.0
2236.0,176.59,9484.91,100,1.83806999207,30,1521.0
2258.3,169.67,10279.82,100,2.21642998457,45,1521.0
2145.66,185.63,8084.67,98,1.91192999601,5,1521.75
2185.39,182.32,8868.29,100,1.98373000383,15,1521.75
2246.13,172.72,9259.23,100,2.13002001047,30,1521.75
2281.01,170.37,10586.68,100,2.1360400176,45,1521.75
