str(cost)+,+str(overCapacity)+,+str(Elapsed)+,+str(itt)+,+str(reset)+
2442,5.07339535246,1.95399999619,6886,198
2467,0,2.56200003624,8788,183
2367,42.6022616732,2.882999897,10452,176
2433,0,3.10599994659,10743,182
2387,39.6904025658,1.84400010109,6650,189
2484,11.9162531983,1.5529999733,5688,189
2560,20.4978769614,2.04999995232,7385,184
2472,39.5816041903,2.11999988556,7899,172
2383,13.1481240866,1.85700011253,6713,179
2439,20.3643194901,2.08100008965,7480,169
2467,26.1942936265,1.80899977684,6742,189
2497,19.7831640548,1.48600006104,5415,179
2431,16.7931488505,2.13100004196,7688,162
2443,0.833115822565,1.96899986267,6917,190
2489,3.1020570742,1.87800002098,6559,199
2390,0,2.35300016403,7801,211
2419,44.1633029142,1.78600001335,6457,160
2585,49.7170030654,1.00500011444,3733,144
2497,42.1712010903,1.59599995613,5786,190
2407,0,2.0640001297,6961,186
2512,42.2649987853,1.69400000572,6393,160
2605,43.3800384165,1.77100014687,6822,160
2441,24.3654585423,1.74300003052,6411,184
2404,17.2724931794,1.64200019836,5858,183
2429,5.14617816725,2.54999995232,8810,182
2478,7.17291991962,1.85100007057,6721,162
2405,6.43712418182,1.91799998283,6820,185
2595,28.0317743078,1.20399999619,4468,172
2450,0.854267363802,1.87000012398,6599,203
2467,7.92040588188,1.37199997902,4797,171
2640,39.6282055498,1.15699982643,4233,160
2427,43.1172766657,2.15100002289,7728,198
2549,18.4376729277,1.86100006104,6751,159
3119,160.327472542,1.7990000248,6719,113
2340,37.0679784656,2.71000003815,9524,198
2571,48.0393706294,0.93700003624,3488,155
2463,37.9738266499,1.74500012398,6414,171
2382,16.1935128992,2.58700013161,9127,174
2428,22.730982451,1.33699989319,4652,171
2443,27.4415013802,1.72799992561,5950,201
2397,23.6748667266,1.52300000191,5369,204
2489,31.6612612883,1.35099983215,4769,166
2482,25.9205892465,1.68400001526,6007,165
2426,0,2.27099990845,7579,186
2449,4.18861076687,1.93799996376,6725,190
2521,17.6633664902,1.71199989319,6604,167
2517,46.778564496,1.38899993896,5059,172
2507,28.5818373034,2.51499986649,8947,200
2494,20.3287236462,1.77900004387,6285,169
2582,31.4827784335,1.43600010872,5075,178
2468,11.1004236246,1.53400015831,5296,180
2385,32.8863936783,1.60300016403,5700,171
2429,28.3792175411,2.47799992561,8845,170
2398,10.0773942635,2.24300003052,7913,209
2513,22.101227029,1.25200009346,4528,170
2459,29.1074833837,1.58299994469,5695,169
2363,13.6492824804,2.95600008965,10182,201
2427,16.9659082236,1.85100007057,6436,193
2480,16.6192254426,2.1289999485,7751,175
2413,20.0227092076,3.08400011063,11021,181
2504,41.3015402084,1.75499987602,6362,183
2497,44.791662172,1.75200009346,6350,176
2433,32.0729599776,2.0119998455,7178,181
2518,30.5559577647,1.50699996948,5373,168
2445,10.4139314497,1.6779999733,6073,187
2431,9.74959178163,2.48600006104,8757,178
2468,14.5338423915,2.17700004578,7550,156
2400,19.6715862747,1.55999994278,5463,158
2523,25.9946264372,2.1130001545,7699,182
2457,15.6503016923,1.63700008392,5850,173
2401,12.0242606347,1.90299987793,6507,171
2437,12.122625066,1.59500002861,5659,185
2409,20.3029070529,1.71100020409,5928,176
2408,33.5268308139,1.78699994087,6302,208
2459,25.0992419913,2.92100000381,10283,189
2380,20.6461373089,2.69899988174,9611,203
2581,28.7012123455,1.09599995613,3912,144
2390,18.0547459383,1.7650001049,6419,209
2480,13.6922806992,2.14699983597,7844,176
2423,15.4558616106,1.52900004387,5388,184
2451,63.4781068939,1.83200001717,6897,200
2418,10.985586509,1.95600008965,6761,177
2421,47.774848333,1.8860001564,6763,190
2487,7.22318954067,2.58400011063,8846,179
2412,2.09704546649,2.46100020409,8441,187
2480,8.57256545008,1.27100014687,4501,159
2402,48.6909565734,1.18099999428,4357,169
2400,19.3419067586,2.0759999752,7298,181
2489,14.6926275486,1.1740000248,4078,170
2411,23.2236460012,1.63199996948,5691,158
2505,21.2519214475,1.32899999619,4748,164
2487,51.3044267963,1.2990000248,4717,161
2410,9.26402400985,2.3220000267,8046,193
2568,1.70391184049,1.14900016785,3957,148
2396,10.4052202332,1.96199989319,6818,162
2379,12.972204555,2.42199993134,8278,196
2422,0,2.57400012016,8495,204
2476,0.793334563791,1.41799998283,4837,199
2483,21.1008276943,1.44000005722,5283,174
2422,3.51045036667,2.74699997902,9478,208
2421,9.9998501347,2.72300004959,9667,189
2360,28.563067067,2.70299983025,9637,187
2546,14.5294306159,1.50800013542,5292,171
2368,10.1477919174,1.70900011063,5742,205
2433,23.7302774372,1.48799991608,5181,187
2520,26.4840546261,1.95799994469,7094,182
2484,40.6364587758,1.39700007439,5146,170
2393,11.8476381772,2.26699995995,7851,196
2489,33.0170096453,2.76200008392,10290,163
2768,21.7551773053,0.865000009537,3125,129
2454,8.33880107358,2.62699985504,9179,196
2415,4.67296945552,2.24499988556,7634,190
2807,30.8809702637,1.21899986267,4544,137
2412,32.3065711321,1.90300011635,6913,171
2423,6.73700906845,1.94400000572,6770,183
2508,35.1304121822,1.65599989891,5971,182
2365,8.73613684483,2.04999995232,6997,188
2580,10.7458936605,0.890000104904,3306,141
2453,11.906551542,1.89600014687,6784,190
2425,0,1.93799996376,6654,185
2440,7.00253988711,1.93099999428,6937,192
2466,8.84878006252,1.70000004768,5984,146
2362,16.3304720007,3.69799995422,12922,213
2384,30.5880907671,1.97499990463,7033,161
2409,2.29113059985,2.46600008011,8411,187
2402,40.2786909473,1.70000004768,6207,183
2653,16.6150287575,1.57299995422,5707,188
2479,3.72694793443,1.77999997139,6107,184
2435,5.20232600917,2.08299994469,7147,200
2404,9.50338702159,1.73300004005,5933,187
2532,6.65743196646,2.59000015259,8885,184
2402,5.58228783518,1.54999995232,5360,194
2476,16.0379980762,1.68400001526,5744,165
2381,8.60559820465,2.75699996948,9327,216
2553,35.6452957733,1.37400007248,5077,154
2584,32.1982737974,1.37000012398,4980,133
2400,25.2236716626,1.95299983025,6810,178
2390,31.019378576,2.41000008583,8447,179
2399,0,2.33599996567,7891,185
2453,17.2078251111,2.69099998474,9368,203
2582,40.7778488303,1.23799991608,4529,169
2382,5.00459694198,2.8220000267,9619,206
2451,30.3145321018,2.07999992371,7534,176
2366,16.2817142916,2.02300000191,7174,198
2460,32.4372096406,2.22399997711,8128,172
2755,61.7943818913,1.21799993515,4687,114
2383,20.3495897083,2.70399999619,9028,191
2382,14.5358263143,2.83200001717,9650,206
2578,10.8164823302,1.49500012398,5278,160
2451,21.6521423424,1.47900009155,5138,196
2423,9.6362895569,1.97599983215,6618,188
2457,21.1777723524,1.84400010109,6436,169
2510,13.1401003283,1.7009999752,5874,171
2388,35.1425781778,3.73300004005,13583,187
2470,15.925838963,1.375,4885,162
2715,40.4966315354,1.56999993324,5966,154
2487,6.91778453963,1.90199995041,6638,206
2467,13.807394618,2.09700012207,7573,181
2405,22.3700384349,1.82500004768,6495,181
2444,16.4801339746,2.73699998856,9935,202
2398,0,1.54299998283,5374,190
2576,61.8219042126,1.19499993324,4381,156
2506,33.5437767359,1.46299982071,5158,193
2417,2.07083728178,2.29699993134,8204,188
2517,31.4324399239,1.47600007057,5312,172
2422,19.1589666632,1.71300005913,6205,205
2402,20.7469449893,1.94900012016,6962,202
2402,5.58979676295,2.1779999733,7742,191
2405,18.8814919833,2.1139998436,7580,183
2406,0.954913272897,2.05900001526,7249,176
2395,13.4049035218,2.31900000572,7819,195
2536,23.5536803113,0.934000015259,3303,144
2428,11.9694402116,2.44199991226,8548,194
2425,18.6838680409,1.47399997711,4912,174
2413,26.4786015152,1.47499990463,5449,154
2390,15.6810065054,1.89400005341,6709,197
2425,21.2392957107,2.39699983597,8866,194
2486,25.5520067919,1.46700000763,5130,189
2469,39.1649309114,1.0490000248,3729,183
2517,0.496832931184,1.58000016212,5350,188
2412,9.07311689036,2.05100011826,7132,173
2478,21.9960532985,1.67900013924,5861,165
2370,23.2903557457,2.91000008583,10745,184
2519,10.5079056236,1.84800004959,6518,174
2451,4.6459444565,1.58800005913,5739,182
2452,31.5182033775,1.96499991417,7112,171
2390,0,2.95199990273,9783,184
2423,3.80054369554,2.21700000763,7708,162
2414,7.83614676256,1.99099993706,6857,190
2408,18.7428740691,2.37399983406,8232,210
2517,31.126348916,1.54800009727,5381,179
2397,17.5644083725,1.80700016022,6005,186
2529,43.9699602928,1.43299984932,5206,179
2442,33.1326685917,1.82700014114,6558,180
2600,30.3422660869,1.55599999428,5709,165
2389,20.6973271677,1.95000004768,7030,188
2468,11.8936312587,1.40000009537,4880,162
2477,38.1627362821,1.62599992752,5934,183
2427,20.8978478207,2.45600008965,8809,165
2484,28.4898666183,1.82099986076,6415,162
2467,17.004118129,2.23799991608,7761,187
2414,18.8550643418,2.04100012779,7195,191
2414,2.78148715538,2.58400011063,9028,182
2497,16.0265932449,2.257999897,7921,174
2416,9.43492874781,2.01799988747,6920,175
2513,24.6270828885,1.80499982834,6573,141
2594,31.2963975205,2.05800008774,7692,157
2403,38.8230307233,2.03100013733,7103,182
2439,18.8266776873,1.51799988747,5319,206
2546,25.6271704567,1.10800004005,3928,164
2473,23.3869931663,2.12000012398,7487,180
2401,0,3.35000014305,11187,180
2481,12.3671780045,1.67000007629,5981,173
2372,31.3709861264,2.59599995613,9167,202
2402,36.6667415813,1.70799994469,6165,196
2445,2.21279256547,2.01799988747,6869,169
2450,3.8903374769,1.78099989891,6104,209
2358,16.1196318465,1.85199999809,6340,193
2492,29.0586623353,2.00400018692,7138,193
2402,0,2.1099998951,7044,190
2413,18.6150292651,1.89199995995,6423,222
2584,20.484692529,1.98099994659,7001,168
2618,36.4536868414,1.53799986839,5819,140
2476,24.5240804938,1.97900009155,6998,161
2423,6.76746300082,2.03699994087,6941,181
2414,39.9215487233,2.08100008965,7328,166
2501,8.69085703086,1.68499994278,5810,188
2587,19.430478879,1.22000002861,4388,169
